,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Ushuaia,67,AR,1587954096,69,-54.8,-68.3,39.2,11.41
1,Mareeba,0,AU,1587954054,63,-17.0,145.43,86.0,5.99
2,Shingū,40,JP,1587954096,59,33.73,135.98,62.6,12.75
3,Punta Arenas,15,CL,1587954096,74,-53.15,-70.92,32.0,4.7
4,Ankazoabo,19,MG,1587954097,75,-22.28,44.52,63.52,7.58
5,Norman Wells,40,CA,1587954097,40,65.28,-126.83,33.8,12.75
6,Atuona,7,PF,1587954097,75,-9.8,-139.03,82.54,17.13
7,Jérémie,3,HT,1587953823,74,18.65,-74.12,78.13,1.79
8,Carnarvon,57,AU,1587954097,74,-24.87,113.63,78.8,13.87
9,Bintulu,75,MY,1587954097,89,3.17,113.03,84.2,2.24
10,Mataura,66,NZ,1587954097,78,-46.19,168.86,55.99,13.0
11,Khatanga,96,RU,1587954097,96,71.97,102.5,24.98,10.78
12,Bredasdorp,100,ZA,1587954097,77,-34.53,20.04,60.8,8.05
13,Nanortalik,77,GL,1587954098,88,60.14,-45.24,34.7,32.73
14,Umluj,0,SA,1587954098,50,25.02,37.27,69.96,8.81
15,Valle de Allende,100,MX,1587954098,30,26.93,-105.4,68.65,14.83
16,Pastavy,66,BY,1587954098,87,55.12,26.83,33.46,6.73
17,Union,90,US,1587954098,87,40.63,-74.27,45.0,9.17
18,Mékhé,82,SN,1587954098,73,15.11,-16.62,71.6,17.22
19,Rikitea,6,PF,1587954098,80,-23.12,-134.97,75.34,16.26
20,Castro,14,BR,1587954098,53,-24.79,-50.01,59.05,6.44
21,Luganville,90,VU,1587954098,94,-15.53,167.17,77.0,4.7
22,Amapá,100,BR,1587954099,94,1.0,-52.0,72.52,2.08
23,Show Low,1,US,1587954008,16,34.25,-110.03,73.4,9.17
24,Hermanus,98,ZA,1587954099,80,-34.42,19.23,62.01,11.99
25,Jamestown,90,US,1587954100,93,42.1,-79.24,39.99,12.75
26,Saint-Philippe,4,RE,1587954100,73,-21.36,55.77,75.2,8.05
27,Manggar,100,ID,1587954100,70,-2.88,108.27,84.49,4.56
28,Upernavik,100,GL,1587954101,96,72.79,-56.15,29.19,3.87
29,Coyhaique,90,CL,1587953942,87,-45.58,-72.07,48.2,3.36
30,Saldanha,29,ZA,1587954101,77,-33.01,17.94,62.6,13.87
31,Bluff,18,NZ,1587954101,78,-46.6,168.33,55.99,13.0
32,Ürümqi,2,CN,1587954101,7,43.8,87.6,86.0,6.71
33,Hithadhoo,23,MV,1587954101,76,-0.6,73.08,84.76,10.69
34,Ribeira Grande,100,PT,1587954101,65,38.52,-28.7,57.52,8.01
35,Itoman,75,JP,1587954101,73,26.12,127.67,71.6,8.05
36,Siteki,84,SZ,1587954101,83,-26.45,31.95,57.83,2.57
37,Palencia,99,ES,1587954102,80,42.42,-4.5,52.0,5.01
38,Korla,0,CN,1587954102,12,41.76,86.15,75.13,3.8
39,Morondava,0,MG,1587954102,68,-20.28,44.28,74.35,8.52
40,Cayenne,75,GF,1587954102,100,4.93,-52.33,77.0,2.24
41,Salalah,20,OM,1587954102,83,17.02,54.09,82.4,3.36
42,Ancud,92,CL,1587954102,87,-41.87,-73.82,57.99,12.75
43,Vaini,90,TO,1587954102,88,-21.2,-175.2,75.2,11.41
44,Mahébourg,20,MU,1587954102,94,-20.41,57.7,73.4,2.24
45,Berlevåg,100,NO,1587954102,96,70.86,29.09,30.51,19.64
46,Lindi,20,TZ,1587954103,94,-10.0,39.72,75.2,11.41
47,New Norfolk,100,AU,1587954103,71,-42.78,147.06,62.01,4.0
48,Vila,75,PT,1587954103,100,42.03,-8.16,55.99,4.7
49,Emerald,0,AU,1587954103,39,-23.53,148.17,82.99,10.29
50,Bethel,90,US,1587954103,93,41.37,-73.41,43.0,12.75
51,Port Macquarie,95,AU,1587954103,74,-31.43,152.92,75.0,1.01
52,Stephenville,1,US,1587954103,43,32.22,-98.2,71.6,6.93
53,Krasyliv,71,UA,1587954103,83,49.65,26.97,38.73,6.4
54,Provideniya,100,RU,1587954103,73,64.38,-173.3,23.0,6.71
55,Busselton,1,AU,1587954103,50,-33.65,115.33,66.99,7.14
56,Cape Canaveral,1,US,1587954103,61,28.41,-80.6,78.8,10.29
57,Roald,9,NO,1587954104,80,62.58,6.13,42.01,21.92
58,Saskylakh,100,RU,1587954104,95,71.92,114.08,22.44,10.0
59,Tuatapere,40,NZ,1587954104,78,-46.13,167.68,55.99,13.0
60,Tarata,20,BO,1587954104,62,-17.62,-66.02,57.2,3.36
61,Srīvardhan,38,IN,1587954104,70,18.03,73.02,83.08,3.76
62,Lake Sebu,75,PH,1587954104,55,6.22,124.69,87.8,4.7
63,Mount Isa,0,AU,1587954104,19,-20.73,139.5,89.6,12.75
64,Fortuna,20,US,1587954104,71,40.6,-124.16,59.0,9.17
65,Marabu,75,MY,1587954105,79,4.41,114.01,86.0,3.36
66,Cockburn Town,0,TC,1587954017,79,21.46,-71.14,79.9,17.09
67,Lebu,91,CL,1587954105,91,-37.62,-73.65,56.23,13.76
68,Grindavik,40,IS,1587954105,93,63.84,-22.43,39.2,2.57
69,Ilulissat,71,GL,1587954105,44,69.22,-51.1,41.0,19.46
70,Kapaa,20,US,1587954105,61,22.08,-159.32,80.6,13.87
71,Mayumba,73,GA,1587954105,86,-3.43,10.66,77.25,3.96
72,Arraial do Cabo,0,BR,1587954105,75,-22.97,-42.03,75.11,9.93
73,Kumul,0,CN,1587954105,7,42.8,93.45,81.37,8.7
74,Nyzhnya Duvanka,100,UA,1587954105,90,49.58,38.17,46.49,5.91
75,San Rafael,49,AR,1587954106,69,-34.62,-68.33,57.92,2.35
76,Puerto Ayora,16,EC,1587954106,86,-0.74,-90.35,78.01,7.0
77,Padang,100,ID,1587954106,83,-0.95,100.35,77.43,4.16
78,Natyrbovo,2,RU,1587954106,75,44.73,40.63,42.55,5.5
79,Chui,46,UY,1587954106,74,-33.7,-53.46,63.95,13.96
80,Kalmunai,20,LK,1587953852,70,7.42,81.82,85.62,5.73
81,Pevek,32,RU,1587954106,93,69.7,170.31,22.59,12.77
82,Avarua,55,CK,1587954106,74,-21.21,-159.78,82.4,8.05
83,Bibiani,91,GH,1587954106,92,6.46,-2.32,72.79,1.74
84,Borovskoy,100,KZ,1587954106,48,53.8,64.15,53.58,10.36
85,Necochea,94,AR,1587954107,92,-38.55,-58.74,51.01,1.99
86,San Luis,93,AR,1587954107,66,-33.3,-66.34,62.55,4.09
87,Ambulu,14,ID,1587954107,71,-8.35,113.61,83.21,2.04
88,Barrow,90,US,1587954107,78,71.29,-156.79,15.8,16.11
89,Albany,90,US,1587954065,86,42.6,-73.97,39.2,11.41
90,Ilebo,100,CD,1587954107,86,-4.32,20.58,70.9,0.85
91,Córdoba,90,AR,1587954002,100,-31.41,-64.18,64.0,5.82
92,Hilo,40,US,1587953966,57,19.73,-155.09,80.6,10.29
93,Port Alfred,100,ZA,1587954107,82,-33.59,26.89,66.0,8.01
94,Kansanshi,0,ZM,1587954107,57,-12.1,26.43,54.9,4.29
95,Cape Town,20,ZA,1587954063,82,-33.93,18.42,64.0,17.22
96,Rocha,38,UY,1587954107,82,-34.48,-54.33,58.62,8.97
97,Rumoi,100,JP,1587954107,66,43.93,141.64,41.81,11.9
98,Dingle,100,PH,1587954107,59,11.0,122.67,88.84,14.25
99,Kirakira,65,SB,1587954107,64,-10.45,161.92,85.82,5.44
100,Chara,0,RU,1587954108,41,56.91,118.26,44.49,2.77
101,Chokurdakh,100,RU,1587954108,99,70.63,147.92,32.52,11.25
102,Ponta do Sol,20,PT,1587954108,82,32.67,-17.1,62.6,4.7
103,Elverum,95,NO,1587954108,80,60.88,11.56,42.01,10.0
104,Kālāvad,0,IN,1587954108,36,22.22,70.38,73.0,11.3
105,Bambous Virieux,20,MU,1587954108,94,-20.34,57.76,73.4,2.24
106,Camacha,75,PT,1587954108,77,33.08,-16.33,62.6,10.29
107,Constitución,96,CL,1587954108,85,-35.33,-72.42,58.55,9.35
108,Quelimane,20,MZ,1587954108,94,-17.88,36.89,71.6,3.36
109,Lüderitz,36,NA,1587954108,82,-26.65,15.16,62.6,12.75
110,Dikson,87,RU,1587954108,95,73.51,80.55,23.34,12.82
111,Genhe,100,CN,1587954108,33,50.78,121.52,52.72,4.12
112,Arlit,2,NE,1587954109,10,18.74,7.39,87.46,6.98
113,Glendive,1,US,1587954109,33,47.11,-104.71,57.2,8.05
114,Cidreira,100,BR,1587954109,84,-30.18,-50.21,69.3,15.28
115,Wanning,7,CN,1587954109,63,18.8,110.4,79.02,7.92
116,Anadyr,20,RU,1587954109,85,64.75,177.48,15.8,6.71
117,Saint Paul Harbor,90,US,1587954109,53,57.79,-152.41,50.0,8.05
118,Mehamn,100,NO,1587954109,96,71.04,27.85,28.96,19.51
119,Tiksi,50,RU,1587954109,94,71.69,128.87,22.64,18.34
120,Tawaramoto,40,JP,1587954109,45,34.55,135.8,66.0,6.93
121,Ahipara,99,NZ,1587954109,74,-35.17,173.17,65.7,8.68
122,Iberia,1,US,1587954109,49,29.95,-91.75,71.6,8.05
123,Lompoc,1,US,1587954109,72,34.64,-120.46,63.0,16.11
124,Labuhan,31,ID,1587954109,68,-6.88,112.21,86.58,7.7
